編號,路線名稱,起迄站
206,紅31,金龍寺–捷運民權西路站
207,紅33,葫蘆寺–聯合醫院中興院區
208,紅35,關渡碼頭–臺北藝術大學
209,紅50,內湖–捷運圓山站
210,紅55,捷運關渡站–臺北藝術大學
211,紅57,捷運行天宮站–捷運科技大樓站
212,紅68,北投士林科技園區–捷運芝山站
213,綠1,捷運新店站–臺北市政府
214,綠11,萬芳社區–台電大樓
215,綠16,松德調度站–捷運劍南路站
216,綠17,華中河濱公園–大稻埕碼頭
217,藍5,吳興街–捷運市政府站
218,藍7,故宮博物院–捷運市政府站
219,藍10,民生社區–南港花園社區
220,藍20,南港高工–捷運劍南路站
221,藍25,中華科技大學–捷運昆陽站
222,藍26,舊宗路–捷運市政府站
223,藍27,內湖–捷運市政府站
224,藍28,景明街口–東園
225,藍29,東園–中華路北站
226,藍36,社后–捷運昆陽站
227,藍50,新湖二路–捷運昆陽站
228,藍51,捷運昆陽站–安泰社區
229,忠孝幹線,蘆洲–松山車站
230,信義幹線,捷運昆陽站–臺北車站
231,和平幹線,萬芳社區–衡陽路
232,南京幹線,南港高工–圓環
233,民權幹線,南港–台北橋
234,基隆路幹線,大崎腳–捷運市政府站
235,羅斯福路,捷運動物園站–臺北車站
236,中山幹線,天母–青年公園
237,重慶幹線,榮總–東園
238,復興幹線,建國北路–景美
239,承德幹線,新北投–捷運市政府站
240,民生幹線,麥帥新城–圓環
241,仁愛幹線,五福新村–南港國宅
242,松江新生,青潭–復興北村
243,敦化幹線,麟光新村–榮總
244,內湖幹線,東湖–衡陽路
245,市民小巴1,捷運劍潭站–風櫃嘴
246,市民小巴2,捷運北投站–北投溫泉博物館
247,市民小巴5,興德閱覽室–捷運景美站
248,市民小巴6,舊莊–捷運南港站
249,市民小巴7,慈恩園/清水祖師廟/麟光調度站–捷運市政府站
250,市民小巴8,北投士林科技園區–後港里
251,市民小巴9,大佳河濱公園–聯合醫院中興院區
252,市民小巴10,麥帥新城–三民國中
253,市民小巴11,職能發展中心–捷運芝山站
254,市民小巴12,捷運芝山站–社子里
255,市民小巴15,捷運昆陽站–捷運南港展覽館站
256,市民小巴16,天母圓環–捷運芝山站
257,快速,景美女中–榮總
258,文湖線,南港展覽館–動物園
259,淡水信義線,淡水–象山
260,松山新店線,松山–新店
261,中和新蘆線,蘆洲/迴龍–南勢角
262,板南線,頂埔–南港展覽館
263,環狀線,新北產業園區–大坪林
